Nome,Número,Peso,Altura,Tipos,Habilidades,Habilidades Descrição,Habilidades URL,Url Pokémon,Evoluções,Evoluções Número,Evoluções URL
Bulbasaur,0001,6.9 kg (15.2 lbs),0.7 m (2′04″),"Grass,Poison","Overgrow,Chlorophyll"," Powers up Grass-type moves in a pinch., Boosts the Pokémon's Speed in sunshine."," https://pokemondb.net//ability/overgrow, https://pokemondb.net//ability/chlorophyll",https://pokemondb.net/pokedex/bulbasaur,"Ivysaur,Venusaur"," #0002, #0003"," https://pokemondb.net//pokedex/ivysaur, https://pokemondb.net//pokedex/venusaur"
Charizard,0006,90.5 kg (199.5 lbs),1.7 m (5′07″),"Fire,Flying","Blaze,Solar Power,Tough Claws,Drought"," Powers up Fire-type moves in a pinch., In sunshine, Sp. Atk is boosted but HP decreases., Boosts the power of contact moves., Turns the sunlight harsh when the Pokémon enters a battle."," https://pokemondb.net//ability/blaze, https://pokemondb.net//ability/solar-power, https://pokemondb.net//ability/tough-claws, https://pokemondb.net//ability/drought",https://pokemondb.net/pokedex/charizard,,,
Weedle,0013,3.2 kg (7.1 lbs),0.3 m (1′00″),"Bug,Poison","Shield Dust,Run Away"," Blocks the added effects of attacks taken., Enables a sure getaway from wild Pokémon."," https://pokemondb.net//ability/shield-dust, https://pokemondb.net//ability/run-away",https://pokemondb.net/pokedex/weedle,"Kakuna,Beedrill"," #0014, #0015"," https://pokemondb.net//pokedex/kakuna, https://pokemondb.net//pokedex/beedrill"
Metapod,0011,9.9 kg (21.8 lbs),0.7 m (2′04″),Bug,Shed Skin, The Pokémon may heal its own status problems., https://pokemondb.net//ability/shed-skin,https://pokemondb.net/pokedex/metapod,Butterfree, #0012," https://pokemondb.net//pokedex/metapod, https://pokemondb.net//pokedex/butterfree"
Blastoise,0009,85.5 kg (188.5 lbs),1.6 m (5′03″),Water,"Torrent,Rain Dish,Mega Launcher"," Powers up Water-type moves in a pinch., The Pokémon gradually regains HP in rain., Boosts the power of aura and pulse moves."," https://pokemondb.net//ability/torrent, https://pokemondb.net//ability/rain-dish, https://pokemondb.net//ability/mega-launcher",https://pokemondb.net/pokedex/blastoise,,,
Wartortle,0008,22.5 kg (49.6 lbs),1.0 m (3′03″),Water,"Torrent,Rain Dish"," Powers up Water-type moves in a pinch., The Pokémon gradually regains HP in rain."," https://pokemondb.net//ability/torrent, https://pokemondb.net//ability/rain-dish",https://pokemondb.net/pokedex/wartortle,Blastoise, #0009," https://pokemondb.net//pokedex/wartortle, https://pokemondb.net//pokedex/blastoise"
Charmeleon,0005,19.0 kg (41.9 lbs),1.1 m (3′07″),Fire,"Blaze,Solar Power"," Powers up Fire-type moves in a pinch., In sunshine, Sp. Atk is boosted but HP decreases."," https://pokemondb.net//ability/blaze, https://pokemondb.net//ability/solar-power",https://pokemondb.net/pokedex/charmeleon,Charizard, #0006," https://pokemondb.net//pokedex/charmeleon, https://pokemondb.net//pokedex/charizard"
Caterpie,0010,2.9 kg (6.4 lbs),0.3 m (1′00″),Bug,"Shield Dust,Run Away"," Blocks the added effects of attacks taken., Enables a sure getaway from wild Pokémon."," https://pokemondb.net//ability/shield-dust, https://pokemondb.net//ability/run-away",https://pokemondb.net/pokedex/caterpie,"Metapod,Butterfree"," #0011, #0012"," https://pokemondb.net//pokedex/metapod, https://pokemondb.net//pokedex/butterfree"
Butterfree,0012,32.0 kg (70.5 lbs),1.1 m (3′07″),"Bug,Flying","Compound Eyes,Tinted Lens"," The Pokémon's accuracy is boosted., Powers up “not very effective” moves."," https://pokemondb.net//ability/compound-eyes, https://pokemondb.net//ability/tinted-lens",https://pokemondb.net/pokedex/butterfree,,,
Squirtle,0007,9.0 kg (19.8 lbs),0.5 m (1′08″),Water,"Torrent,Rain Dish"," Powers up Water-type moves in a pinch., The Pokémon gradually regains HP in rain."," https://pokemondb.net//ability/torrent, https://pokemondb.net//ability/rain-dish",https://pokemondb.net/pokedex/squirtle,"Wartortle,Blastoise"," #0008, #0009"," https://pokemondb.net//pokedex/wartortle, https://pokemondb.net//pokedex/blastoise"
